collection_time,tweet_id,created_at,user_name,user_id,text,retweet_count,favorite_count,reply_count,quote_count,language
2025-01-09T10:40:03.520168,1877364594923975131,Thu Jan 09 14:39:33 +0000 2025,Blaze Odyssey,1820683561336553472,"Bitcoin is heating up! 🚀 $BTC breaks resistance, eyeing $40K next. Bulls are in control, and momentum is growing fast. Is this the start of the next major rally? #Bitcoin #BTC #Crypto",0,0,0,0,en
2025-01-09T10:40:03.520207,1877364594835890371,Thu Jan 09 14:39:33 +0000 2025,Cheap Thrills Gamer,525590425,@ibcgroupio Good to have the dollar back on track and this's a win for all cos bitcoin's price is as high as fuck!,0,0,0,0,en
2025-01-09T10:40:03.520219,1877364594143826244,Thu Jan 09 14:39:33 +0000 2025,Millionsz,1569556911598759936,"Why is Q1 super bullish for $BTC &amp; $ALTS? 

Historical Performance: 
Q1 has historically shown strong returns for cryptocurrencies, with Bitcoin averaging 52% and Ethereum 83% in past Q1s. This pattern creates a bullish expectation at the year's start.

Market Sentiment and",0,0,0,0,en
2025-01-09T10:40:03.520234,1877364582303359055,Thu Jan 09 14:39:30 +0000 2025,Volume,1267111193266749440,"@QwQiao BTC is Ubik. Same reason why BTC is bitcoin &amp; not one of the forks. People want the Brand Name bc they still think an organization (which ofc, bitcoin is not) will do what is in its own self interest, just like themselves, &amp; they can choose to be a part of that.",0,0,0,0,en
2025-01-09T10:40:03.520251,1877364581737066629,Thu Jan 09 14:39:30 +0000 2025,TK,1700908581321605120,@pampered_chick @willnotclap Too late i bought a bitcoin with his shit,0,0,0,0,en
2025-01-09T10:40:03.520261,1877364581288317150,Thu Jan 09 14:39:30 +0000 2025,Nova,1534194840635854850,"Governments or large institutions aiming to sell significant amounts of assets, like Bitcoin from seizures or forfeitures, would typically employ strategies that minimize market impact and public visibility",0,0,0,0,en
2025-01-09T10:40:03.520274,1877364578956488756,Thu Jan 09 14:39:30 +0000 2025,Abrar The Crypto ⚡️🇧🇩,2823746510,"@CryptoRubic Back in my day, Bitcoin was under $1… 

times have really changed!",0,0,0,0,en
2025-01-09T10:40:03.520289,1877364575789527462,Thu Jan 09 14:39:29 +0000 2025,Bitcoin Benito,24218899,Lil Ice Cube looking like Iceberg,0,0,0,0,en
2025-01-09T10:40:03.520309,1877364557993144555,Thu Jan 09 14:39:25 +0000 2025,Westin aka Fanothemage,1446983894725632003,Bitcoin needs to stop playing with my emotions.,0,1,0,0,en
2025-01-09T10:40:03.520319,1877364543703101715,Thu Jan 09 14:39:21 +0000 2025,Marco ₿attistoni,396594414,"@BTC_Archive Bitcoin was down -52.6% in 2 days in March 2020.

Is gonna be fine, soon 🚀
$BTC #Bitcoin",0,1,0,0,en
2025-01-09T10:40:03.520331,1877364538258956430,Thu Jan 09 14:39:20 +0000 2025,Blockchain Echo,1820688848634118144,"Bitcoin is heating up! 🚀 $BTC breaks resistance, eyeing $40K next. Bulls are in control, and momentum is growing fast. Is this the start of the next major rally? #Bitcoin #BTC #Crypto",0,1,0,0,en
