collection_time,tweet_id,created_at,user_name,user_id,text,retweet_count,favorite_count,reply_count,quote_count,language
2025-01-09T10:40:22.635075,1877364597394378762,Thu Jan 09 14:39:34 +0000 2025,Ethereum lord🔥,1840516761718067200,@HacCryptde0 @Regrets10x $DMP Ape in now for maximum profits 🔥🔥,0,0,0,0,en
2025-01-09T10:40:22.635107,1877364594173264148,Thu Jan 09 14:39:33 +0000 2025,shine⚡️🥷🇨🇭,1793377039405490176,"@OrochiNetwork 5/ 
Our innovation hasn’t gone unnoticed! Recognized by the Ethereum Foundation, Mina Foundation, and other pioneers in Web3, Orochi is pushing the boundaries of ZKP technology.",0,0,0,0,en
2025-01-09T10:40:22.635124,1877364594143826244,Thu Jan 09 14:39:33 +0000 2025,Millionsz,1569556911598759936,"Why is Q1 super bullish for $BTC &amp; $ALTS? 

Historical Performance: 
Q1 has historically shown strong returns for cryptocurrencies, with Bitcoin averaging 52% and Ethereum 83% in past Q1s. This pattern creates a bullish expectation at the year's start.

Market Sentiment and",0,2,0,0,en
2025-01-09T10:40:22.635141,1877364560505577560,Thu Jan 09 14:39:25 +0000 2025,Mateus,4896720387,"@CriptoScarlet @CryptoGravina Se você for ver aonde estao os gastos das fees, verá que o problema é na L1. Se as fees em gwei no ethereum aumentam, na Lisk (L2) sobe de forma exponencial…",0,0,0,0,pt
2025-01-09T10:40:22.635155,1877364534622445727,Thu Jan 09 14:39:19 +0000 2025,Shaheeda Cornelius,1668792583697362944,"15 block chain rewards this month, love ETHEREUM,SOLANA,ATOM &amp; .",0,0,0,0,en
2025-01-09T10:40:22.635166,1877364509645455753,Thu Jan 09 14:39:13 +0000 2025,Mentor ✨,1011536718,"What is the argument for why Ethereum is *not* going to $15,000 this year?",0,1,1,0,en
2025-01-09T10:40:22.635177,1877364433371971876,Thu Jan 09 14:38:55 +0000 2025,HerşeyiBilenAdam,947051356665376769,"Bir taraftan Powell, bir taraftan Amerika, bir taraftan FED, bir taraftan SEC, bir taraftan Ethereum Vakfı, topunuz gelin.

BİR KURUŞ ALTCOİN SATMIYORUZ!

#bitcoin #kriptopara #altcoin #borsa #btc",0,11,4,0,tr
2025-01-09T10:40:22.635192,1877364396915064864,Thu Jan 09 14:38:46 +0000 2025,Alexandru Trades,1453396466307899395,@TKralow I have a short running on #Ethereum. Don’t mind the downtrend.,0,0,0,0,en
2025-01-09T10:40:22.635204,1877364352648368195,Thu Jan 09 14:38:36 +0000 2025,1bilsie,1670744310201892865,"@RealEmirHan elmo send me a billion :

Solana:     E99GAwq1vgvM6w2mgrpUP3LenujG2NYZ2PhCkm9pybjM    Ethereum:     0x8E9C0689ea869ce7D28362249b5339B8f92E5A27    Bitcoin:     bc1qmmf6unsd65c487fhrzvaze0zemwt5ftaql7xqf",0,0,0,0,ht
2025-01-09T10:40:22.635218,1877364199975686458,Thu Jan 09 14:37:59 +0000 2025,Not Financial Advice Robot,1851507759633850368,"6️⃣🎯 Key Trends for 2025:

• AI agents revolutionizing consumer engagement
• Mass adoption through institutional inflows &amp; consumer apps
• Growth of “US Tokens” (Ethereum, Chainlink, etc.)
• Tokenized real-world assets (RWA)
• Bigger, better crypto gaming experiences 🎮",0,0,1,0,en
2025-01-09T10:40:22.635236,1877364178501120218,Thu Jan 09 14:37:54 +0000 2025,Martin Szreter,1852668181883797504,"@whale_alert USDC Treasury burns 50M tokens, impacting Ethereum liquidity.",0,0,0,0,en
2025-01-09T10:40:22.635246,1877364167981559820,Thu Jan 09 14:37:52 +0000 2025,Kruys Collins,1733520921233637376,"@satyaki44 @megaeth_labs @eigen_da @DINBuild @lagrangedev @alignedlayer @eoracle_network @AutomataNetwork @hyperbolic_labs Secured by Ethereum, Powered by EigenLayer",0,0,0,0,en
2025-01-09T10:40:22.635259,1877364114869129349,Thu Jan 09 14:37:39 +0000 2025,Ethereum Lord🔥,1840335220236812288,@HacCryptde0 @Regrets10x $DMP This project is the future. Don't get left behind,0,0,0,0,en
2025-01-09T10:40:22.635271,1877364112453218500,Thu Jan 09 14:37:38 +0000 2025,YUKITAIRA,1831526492066738176,"今日3シリーズ400作品ミントリスト完了。作品が1つ売れたら残り7シリーズ600作品も出品出来る。明日から研究と改善。作品を全てリリースしたい。ETHチェーン、価格は1作品1ETHで。アートに興味のある投資家の方、僕を見つけて。
#Ethereum #ETH #crypto #NFT #nftart",0,0,0,0,ja
2025-01-09T10:40:22.635284,1877363967250637005,Thu Jan 09 14:37:04 +0000 2025,"ghandoff (✸,✸)",1744641146637139968,"➤ One App, Multiple Ecosystems

Supporting both Ethereum and Solana? Or maybe Cosmos and Avalanche? Maintaining multiple versions of your app for different chains is a nightmare.

With Shogun, you only need to deploy once, and it automatically works across multiple blockchains.",0,0,1,0,en
2025-01-09T10:40:22.635301,1877363941900218728,Thu Jan 09 14:36:58 +0000 2025,"ghandoff (✸,✸)",1744641146637139968,"➤ Seamless Asset Integration Across Multiple Chains

Imagine a scenario where users come to your app with assets from various chains—Ethereum, Solana, BSC, and more. 

With Shogun, no matter what assets your users hold, they can interact with your app effortlessly.",0,0,1,0,en
2025-01-09T10:40:22.635317,1877363937882030383,Thu Jan 09 14:36:57 +0000 2025,Franklin,1748352523117740032,"2. Key Features of Gate Wallet
•Multi-Asset Support: Store and manage Bitcoin, Ethereum, and a variety of altcoins.
•Non-Custodial Security: You control your private keys and seed phrase.
•Integrated DApp Browser: Access DeFi, NFTs, and Web3 apps seamlessly.",0,2,1,0,en
2025-01-09T10:40:22.635332,1877363921104859578,Thu Jan 09 14:36:53 +0000 2025,⬨ Mewwwwn ⬨ Ethereum 🌕🫧,1340716823923318787,@loldefi Noooooo,0,0,0,0,und
